ENSP,ENSG
ENSP00000265838,ENSG00000075239
ENSP00000299355,ENSG00000075239
ENSP00000435965,ENSG00000075239
ENSP00000436096,ENSG00000075239
ENSP00000500163,ENSG00000075239
ENSP00000500209,ENSG00000075239
ENSP00000500366,ENSG00000075239
ENSP00000500444,ENSG00000075239
ENSP00000500463,ENSG00000075239
ENSP00000500490,ENSG00000075239
ENSP00000500499,ENSG00000075239
ENSP00000500928,ENSG00000075239
ENSP00000314320,ENSG00000178685
ENSP00000325618,ENSG00000178685
ENSP00000431250,ENSG00000178685
ENSP00000431620,ENSG00000178685
ENSP00000431818,ENSG00000178685
ENSP00000432204,ENSG00000178685
ENSP00000432733,ENSG00000178685
ENSP00000433990,ENSG00000178685
ENSP00000434005,ENSG00000178685
ENSP00000434411,ENSG00000178685
ENSP00000434776,ENSG00000178685
ENSP00000435161,ENSG00000178685
ENSP00000435793,ENSG00000178685
ENSP00000436301,ENSG00000178685
ENSP00000436333,ENSG00000178685
ENSP00000436697,ENSG00000178685
ENSP00000394670,ENSG00000196262
ENSP00000405975,ENSG00000196262
ENSP00000419425,ENSG00000196262
ENSP00000427976,ENSG00000196262
ENSP00000429251,ENSG00000196262
ENSP00000430817,ENSG00000196262
ENSP00000479961,ENSG00000196262
ENSP00000502945,ENSG00000196262
ENSP00000503804,ENSG00000196262
ENSP00000504216,ENSG00000196262
ENSP00000504293,ENSG00000196262
ENSP00000504621,ENSG00000196262
ENSP00000504735,ENSG00000196262
ENSP00000294016,ENSG00000162104
ENSP00000460066,ENSG00000162104
ENSP00000460160,ENSG00000162104
ENSP00000461825,ENSG00000162104
ENSP00000357838,ENSG00000065154
ENSP00000439042,ENSG00000065154
ENSP00000485757,ENSG00000160285
ENSP00000486113,ENSG00000160285
ENSP00000487109,ENSG00000160285
ENSP00000487196,ENSG00000160285
ENSP00000487418,ENSG00000160285
ENSP00000348762,ENSG00000160285
ENSP00000380837,ENSG00000160285
ENSP00000391368,ENSG00000160285
ENSP00000409191,ENSG00000160285
ENSP00000410678,ENSG00000160285
ENSP00000429133,ENSG00000160285
ENSP00000377770,ENSG00000109390
ENSP00000377775,ENSG00000109390
ENSP00000421195,ENSG00000109390
ENSP00000425882,ENSG00000109390
ENSP00000439882,ENSG00000109390
ENSP00000440133,ENSG00000109390
ENSP00000441126,ENSG00000109390
ENSP00000502731,ENSG00000109390
ENSP00000352992,ENSG00000167311
ENSP00000380257,ENSG00000167311
ENSP00000380258,ENSG00000167311
ENSP00000402737,ENSG00000167311
ENSP00000413852,ENSG00000167311
ENSP00000277462,ENSG00000148334
ENSP00000345341,ENSG00000148334
ENSP00000411378,ENSG00000148334
ENSP00000482913,ENSG00000148334
ENSP00000502870,ENSG00000148334
ENSP00000502881,ENSG00000148334
ENSP00000503197,ENSG00000148334
ENSP00000503821,ENSG00000148334
ENSP00000503843,ENSG00000148334
ENSP00000504019,ENSG00000148334
ENSP00000504703,ENSG00000148334
ENSP00000504746,ENSG00000148334
ENSP00000310551,ENSG00000172954
ENSP00000368823,ENSG00000172954
ENSP00000368826,ENSG00000172954
ENSP00000417565,ENSG00000172954
ENSP00000417875,ENSG00000172954
ENSP00000417951,ENSG00000172954
ENSP00000419444,ENSG00000172954
ENSP00000419646,ENSG00000172954
ENSP00000419735,ENSG00000172954
ENSP00000419966,ENSG00000172954
ENSP00000420481,ENSG00000172954
ENSP00000311027,ENSG00000173418
ENSP00000335636,ENSG00000173418
ENSP00000381603,ENSG00000173418
ENSP00000306999,ENSG00000171320
ENSP00000380563,ENSG00000171320
ENSP00000428027,ENSG00000171320
ENSP00000428435,ENSG00000171320
ENSP00000428928,ENSG00000171320
ENSP00000428959,ENSG00000171320
ENSP00000264934,ENSG00000150712
ENSP00000280285,ENSG00000150712
ENSP00000371577,ENSG00000150712
ENSP00000426028,ENSG00000150712
ENSP00000426912,ENSG00000150712
ENSP00000401265,ENSG00000114062
ENSP00000411258,ENSG00000114062
ENSP00000457771,ENSG00000114062
ENSP00000473822,ENSG00000114062
ENSP00000485732,ENSG00000114062
ENSP00000485958,ENSG00000114062
ENSP00000486066,ENSG00000114062
ENSP00000486349,ENSG00000114062
ENSP00000486388,ENSG00000114062
ENSP00000486601,ENSG00000114062
ENSP00000486900,ENSG00000114062
ENSP00000487148,ENSG00000114062
ENSP00000487178,ENSG00000114062
ENSP00000487217,ENSG00000114062
ENSP00000487552,ENSG00000114062
ENSP00000489625,ENSG00000114062
ENSP00000490111,ENSG00000114062
ENSP00000490258,ENSG00000114062
ENSP00000490557,ENSG00000114062
ENSP00000490563,ENSG00000114062
ENSP00000497549,ENSG00000114062
ENSP00000497572,ENSG00000114062
ENSP00000497594,ENSG00000114062
ENSP00000502703,ENSG00000114062
ENSP00000323348,ENSG00000175809
ENSP00000301046,ENSG00000167531
ENSP00000449780,ENSG00000167531
ENSP00000358424,ENSG00000203859
ENSP00000388292,ENSG00000203859
ENSP00000445122,ENSG00000203859
ENSP00000341952,ENSG00000103253
ENSP00000374353,ENSG00000103253
ENSP00000447170,ENSG00000103253
ENSP00000454712,ENSG00000103253
ENSP00000455616,ENSG00000103253
ENSP00000456104,ENSG00000103253
ENSP00000456390,ENSG00000103253
ENSP00000456978,ENSG00000103253
ENSP00000457219,ENSG00000103253
ENSP00000457486,ENSG00000103253
ENSP00000458711,ENSG00000103253
ENSP00000459148,ENSG00000103253
ENSP00000460451,ENSG00000103253
ENSP00000302599,ENSG00000172461
ENSP00000265560,ENSG00000114316
ENSP00000341028,ENSG00000114316
ENSP00000399079,ENSG00000114316
ENSP00000400623,ENSG00000114316
ENSP00000408274,ENSG00000114316
ENSP00000382349,ENSG00000215009
ENSP00000309186,ENSG00000172985
ENSP00000346768,ENSG00000241119
ENSP00000291764,ENSG00000198077
ENSP00000301146,ENSG00000198077
ENSP00000470933,ENSG00000198077
ENSP00000381634,ENSG00000111371
ENSP00000398142,ENSG00000111371
ENSP00000447853,ENSG00000111371
ENSP00000449607,ENSG00000111371
ENSP00000449744,ENSG00000111371
ENSP00000449756,ENSG00000111371
ENSP00000478907,ENSG00000111371
ENSP00000256578,ENSG00000116337
ENSP00000345498,ENSG00000116337
ENSP00000351573,ENSG00000116337
ENSP00000358855,ENSG00000116337
ENSP00000431975,ENSG00000116337
ENSP00000433739,ENSG00000116337
ENSP00000434891,ENSG00000116337
ENSP00000436541,ENSG00000116337
ENSP00000437025,ENSG00000116337
ENSP00000437164,ENSG00000116337
ENSP00000499362,ENSG00000116337
ENSP00000499465,ENSG00000116337
ENSP00000499620,ENSG00000116337
ENSP00000499621,ENSG00000116337
ENSP00000499739,ENSG00000116337
ENSP00000499740,ENSG00000116337
ENSP00000504882,ENSG00000116337
ENSP00000504916,ENSG00000116337
ENSP00000505528,ENSG00000116337
ENSP00000505534,ENSG00000116337
ENSP00000505537,ENSG00000116337
ENSP00000505735,ENSG00000116337
ENSP00000505774,ENSG00000116337
ENSP00000505948,ENSG00000116337
ENSP00000505950,ENSG00000116337
ENSP00000505976,ENSG00000116337
ENSP00000505994,ENSG00000116337
ENSP00000505999,ENSG00000116337
ENSP00000506038,ENSG00000116337
ENSP00000506195,ENSG00000116337
ENSP00000506332,ENSG00000116337
ENSP00000506422,ENSG00000116337
ENSP00000506466,ENSG00000116337
ENSP00000506701,ENSG00000116337
ENSP00000347359,ENSG00000047249
ENSP00000352522,ENSG00000047249
ENSP00000379995,ENSG00000047249
ENSP00000427835,ENSG00000047249
ENSP00000428255,ENSG00000047249
ENSP00000428625,ENSG00000047249
ENSP00000428969,ENSG00000047249
ENSP00000429786,ENSG00000047249
ENSP00000429947,ENSG00000047249
ENSP00000255641,ENSG00000133275
ENSP00000465106,ENSG00000133275
ENSP00000467214,ENSG00000133275
ENSP00000468637,ENSG00000133275
ENSP00000480052,ENSG00000133275
ENSP00000480185,ENSG00000133275
ENSP00000480929,ENSG00000133275
ENSP00000482716,ENSG00000133275
ENSP00000339479,ENSG00000076685
ENSP00000383960,ENSG00000076685
ENSP00000408112,ENSG00000076685
ENSP00000447664,ENSG00000076685
ENSP00000474091,ENSG00000076685
ENSP00000474247,ENSG00000076685
ENSP00000501565,ENSG00000076685
ENSP00000501653,ENSG00000076685
ENSP00000501689,ENSG00000076685
ENSP00000501806,ENSG00000076685
ENSP00000501901,ENSG00000076685
ENSP00000502090,ENSG00000076685
ENSP00000502126,ENSG00000076685
ENSP00000502128,ENSG00000076685
ENSP00000502205,ENSG00000076685
ENSP00000502215,ENSG00000076685
ENSP00000502663,ENSG00000076685
ENSP00000502679,ENSG00000076685
ENSP00000502801,ENSG00000076685
ENSP00000502816,ENSG00000076685
ENSP00000337701,ENSG00000177666
ENSP00000225927,ENSG00000108784
ENSP00000466892,ENSG00000108784
ENSP00000467135,ENSG00000108784
ENSP00000467836,ENSG00000108784
ENSP00000468665,ENSG00000108784
ENSP00000257190,ENSG00000134758
ENSP00000261593,ENSG00000134758
ENSP00000462165,ENSG00000134758
ENSP00000462498,ENSG00000134758
ENSP00000463153,ENSG00000134758
ENSP00000463659,ENSG00000134758
ENSP00000330442,ENSG00000163803
ENSP00000384187,ENSG00000163803
ENSP00000391810,ENSG00000163803
ENSP00000392493,ENSG00000163803
ENSP00000399712,ENSG00000163803
ENSP00000404723,ENSG00000163803
ENSP00000407076,ENSG00000163803
ENSP00000416440,ENSG00000163803
ENSP00000380793,ENSG00000214160
ENSP00000392209,ENSG00000214160
ENSP00000394917,ENSG00000214160
ENSP00000397326,ENSG00000214160
ENSP00000397613,ENSG00000214160
ENSP00000402744,ENSG00000214160
ENSP00000407011,ENSG00000214160
ENSP00000295598,ENSG00000163399
ENSP00000358506,ENSG00000163399
ENSP00000358508,ENSG00000163399
ENSP00000396236,ENSG00000163399
ENSP00000400124,ENSG00000163399
ENSP00000445306,ENSG00000163399
ENSP00000304313,ENSG00000156219
ENSP00000343843,ENSG00000156219
ENSP00000348064,ENSG00000156219
ENSP00000421345,ENSG00000156219
ENSP00000421431,ENSG00000156219
ENSP00000422249,ENSG00000156219
ENSP00000422287,ENSG00000156219
ENSP00000425327,ENSG00000156219
ENSP00000514989,ENSG00000156219
ENSP00000514990,ENSG00000156219
ENSP00000330320,ENSG00000065923
ENSP00000480916,ENSG00000065923
ENSP00000303552,ENSG00000171503
ENSP00000426638,ENSG00000171503
ENSP00000506899,ENSG00000171503
ENSP00000506931,ENSG00000171503
ENSP00000506934,ENSG00000171503
ENSP00000506936,ENSG00000171503
ENSP00000506944,ENSG00000171503
ENSP00000507174,ENSG00000171503
ENSP00000507276,ENSG00000171503
ENSP00000507296,ENSG00000171503
ENSP00000507471,ENSG00000171503
ENSP00000507546,ENSG00000171503
ENSP00000507642,ENSG00000171503
ENSP00000507719,ENSG00000171503
ENSP00000507722,ENSG00000171503
ENSP00000507740,ENSG00000171503
ENSP00000507793,ENSG00000171503
ENSP00000507860,ENSG00000171503
ENSP00000508043,ENSG00000171503
ENSP00000508122,ENSG00000171503
ENSP00000508237,ENSG00000171503
ENSP00000508240,ENSG00000171503
ENSP00000230792,ENSG00000112874
ENSP00000424521,ENSG00000112874
ENSP00000236067,ENSG00000117410
ENSP00000431375,ENSG00000117410
ENSP00000431605,ENSG00000117410
ENSP00000432754,ENSG00000117410
ENSP00000432994,ENSG00000117410
ENSP00000434094,ENSG00000117410
ENSP00000434729,ENSG00000117410
ENSP00000435396,ENSG00000117410
ENSP00000337976,ENSG00000101945
ENSP00000365877,ENSG00000101945
ENSP00000287490,ENSG00000156885
ENSP00000255613,ENSG00000133247
ENSP00000397296,ENSG00000133247
ENSP00000467499,ENSG00000133247
ENSP00000486397,ENSG00000133247
ENSP00000356404,ENSG00000162630
ENSP00000290921,ENSG00000159692
ENSP00000372411,ENSG00000159692
ENSP00000420983,ENSG00000159692
ENSP00000422148,ENSG00000159692
ENSP00000422364,ENSG00000159692
ENSP00000422730,ENSG00000159692
ENSP00000423872,ENSG00000159692
ENSP00000424575,ENSG00000159692
ENSP00000424684,ENSG00000159692
ENSP00000425053,ENSG00000159692
ENSP00000515195,ENSG00000159692
ENSP00000515211,ENSG00000159692
ENSP00000515212,ENSG00000159692
ENSP00000515213,ENSG00000159692
ENSP00000211122,ENSG00000174156
ENSP00000360007,ENSG00000174156
ENSP00000399142,ENSG00000174156
ENSP00000300432,ENSG00000167103
ENSP00000373399,ENSG00000167103
ENSP00000391316,ENSG00000233276
ENSP00000407375,ENSG00000233276
ENSP00000493593,ENSG00000233276
ENSP00000495001,ENSG00000233276
ENSP00000495108,ENSG00000233276
ENSP00000515480,ENSG00000233276
ENSP00000515481,ENSG00000233276
ENSP00000515482,ENSG00000233276
ENSP00000515867,ENSG00000233276
ENSP00000515879,ENSG00000233276
ENSP00000515880,ENSG00000233276
ENSP00000515881,ENSG00000233276
ENSP00000515882,ENSG00000233276
ENSP00000515883,ENSG00000233276
ENSP00000216194,ENSG00000239900
ENSP00000341429,ENSG00000239900
ENSP00000476535,ENSG00000239900
ENSP00000485073,ENSG00000239900
ENSP00000485202,ENSG00000239900
ENSP00000485286,ENSG00000239900
ENSP00000485288,ENSG00000239900
ENSP00000485289,ENSG00000239900
ENSP00000485437,ENSG00000239900
ENSP00000485443,ENSG00000239900
ENSP00000485462,ENSG00000239900
ENSP00000485477,ENSG00000239900
ENSP00000485525,ENSG00000239900
ENSP00000489696,ENSG00000239900
ENSP00000489728,ENSG00000239900
ENSP00000490909,ENSG00000239900
ENSP00000490946,ENSG00000239900
ENSP00000505155,ENSG00000239900
ENSP00000505244,ENSG00000239900
ENSP00000505298,ENSG00000239900
ENSP00000505556,ENSG00000239900
ENSP00000506592,ENSG00000239900
ENSP00000250018,ENSG00000129167
ENSP00000403831,ENSG00000129167
ENSP00000436081,ENSG00000129167
ENSP00000508368,ENSG00000129167
ENSP00000519511,ENSG00000129167
ENSP00000268206,ENSG00000140598
ENSP00000352418,ENSG00000140598
ENSP00000452687,ENSG00000140598
ENSP00000452825,ENSG00000140598
ENSP00000452990,ENSG00000140598
ENSP00000454186,ENSG00000140598
ENSP00000497919,ENSG00000140598
ENSP00000512528,ENSG00000140598
ENSP00000512563,ENSG00000140598
ENSP00000512564,ENSG00000140598
ENSP00000512568,ENSG00000140598
ENSP00000329664,ENSG00000017260
ENSP00000352665,ENSG00000017260
ENSP00000395809,ENSG00000017260
ENSP00000402677,ENSG00000017260
ENSP00000421261,ENSG00000017260
ENSP00000421326,ENSG00000017260
ENSP00000422489,ENSG00000017260
ENSP00000422872,ENSG00000017260
ENSP00000422890,ENSG00000017260
ENSP00000423330,ENSG00000017260
ENSP00000423774,ENSG00000017260
ENSP00000424783,ENSG00000017260
ENSP00000424930,ENSG00000017260
ENSP00000425228,ENSG00000017260
ENSP00000425320,ENSG00000017260
ENSP00000426849,ENSG00000017260
ENSP00000427087,ENSG00000017260
ENSP00000427461,ENSG00000017260
ENSP00000427625,ENSG00000017260
ENSP00000432956,ENSG00000017260
ENSP00000252444,ENSG00000130164
ENSP00000397829,ENSG00000130164
ENSP00000437639,ENSG00000130164
ENSP00000440520,ENSG00000130164
ENSP00000453346,ENSG00000130164
ENSP00000453513,ENSG00000130164
ENSP00000453557,ENSG00000130164
ENSP00000453696,ENSG00000130164
ENSP00000454071,ENSG00000130164
ENSP00000519281,ENSG00000130164
ENSP00000298649,ENSG00000156515
ENSP00000352398,ENSG00000156515
ENSP00000398316,ENSG00000156515
ENSP00000409761,ENSG00000156515
ENSP00000415949,ENSG00000156515
ENSP00000494664,ENSG00000156515
ENSP00000494917,ENSG00000156515
ENSP00000495526,ENSG00000156515
ENSP00000496531,ENSG00000156515
ENSP00000515575,ENSG00000156515
ENSP00000515576,ENSG00000156515
ENSP00000515577,ENSG00000156515
ENSP00000515578,ENSG00000156515
ENSP00000515579,ENSG00000156515
ENSP00000515580,ENSG00000156515
ENSP00000515581,ENSG00000156515
ENSP00000515582,ENSG00000156515
ENSP00000515583,ENSG00000156515
ENSP00000515584,ENSG00000156515
ENSP00000515585,ENSG00000156515
ENSP00000515586,ENSG00000156515
ENSP00000515587,ENSG00000156515
ENSP00000515588,ENSG00000156515
ENSP00000296741,ENSG00000164303
ENSP00000423497,ENSG00000164303
ENSP00000326693,ENSG00000181035
ENSP00000261396,ENSG00000069248
ENSP00000296521,ENSG00000164120
ENSP00000296522,ENSG00000164120
ENSP00000398720,ENSG00000164120
ENSP00000420892,ENSG00000164120
ENSP00000422418,ENSG00000164120
ENSP00000423066,ENSG00000164120
ENSP00000423110,ENSG00000164120
ENSP00000425741,ENSG00000164120
ENSP00000427699,ENSG00000164120
ENSP00000438017,ENSG00000164120
ENSP00000443644,ENSG00000164120
ENSP00000270593,ENSG00000142513
ENSP00000312286,ENSG00000170890
ENSP00000413594,ENSG00000170890
ENSP00000447233,ENSG00000170890
ENSP00000156626,ENSG00000070526
ENSP00000351991,ENSG00000070526
ENSP00000465092,ENSG00000070526
ENSP00000465116,ENSG00000070526
ENSP00000466230,ENSG00000070526
ENSP00000466436,ENSG00000070526
ENSP00000468784,ENSG00000070526
ENSP00000349689,ENSG00000188706
ENSP00000360103,ENSG00000188706
ENSP00000383991,ENSG00000188706
ENSP00000406165,ENSG00000188706
ENSP00000307241,ENSG00000168291
ENSP00000373220,ENSG00000168291
ENSP00000417267,ENSG00000168291
ENSP00000418448,ENSG00000168291
ENSP00000419580,ENSG00000168291
ENSP00000354721,ENSG00000145217
ENSP00000381528,ENSG00000145217
ENSP00000381532,ENSG00000145217
ENSP00000483506,ENSG00000145217
ENSP00000295266,ENSG00000163114
ENSP00000254235,ENSG00000121281
ENSP00000378187,ENSG00000121281
ENSP00000437788,ENSG00000121281
ENSP00000454301,ENSG00000121281
ENSP00000455670,ENSG00000121281
ENSP00000457409,ENSG00000121281
ENSP00000460018,ENSG00000121281
ENSP00000460636,ENSG00000121281
ENSP00000501053,ENSG00000121281
ENSP00000501222,ENSG00000121281
ENSP00000501223,ENSG00000121281
ENSP00000378288,ENSG00000140795
ENSP00000439297,ENSG00000140795
ENSP00000284061,ENSG00000153933
ENSP00000458493,ENSG00000153933
ENSP00000459295,ENSG00000153933
ENSP00000459958,ENSG00000153933
ENSP00000209665,ENSG00000196344
ENSP00000414254,ENSG00000196344
ENSP00000420269,ENSG00000196344
ENSP00000420300,ENSG00000196344
ENSP00000420613,ENSG00000196344
ENSP00000355014,ENSG00000181191
ENSP00000363699,ENSG00000181191
ENSP00000363711,ENSG00000181191
ENSP00000363712,ENSG00000181191
ENSP00000467404,ENSG00000181191
ENSP00000467564,ENSG00000181191
ENSP00000354213,ENSG00000125430
ENSP00000436078,ENSG00000125430
ENSP00000427720,ENSG00000008513
ENSP00000427786,ENSG00000008513
ENSP00000428540,ENSG00000008513
ENSP00000429638,ENSG00000008513
ENSP00000429936,ENSG00000008513
ENSP00000430135,ENSG00000008513
ENSP00000430515,ENSG00000008513
ENSP00000497381,ENSG00000008513
ENSP00000308541,ENSG00000180210
ENSP00000387413,ENSG00000180210
ENSP00000433907,ENSG00000180210
ENSP00000367608,ENSG00000107159
ENSP00000496880,ENSG00000131174
ENSP00000497474,ENSG00000131174
ENSP00000497517,ENSG00000131174
ENSP00000497958,ENSG00000131174
ENSP00000215904,ENSG00000241360
ENSP00000385336,ENSG00000241360
ENSP00000321424,ENSG00000131183
ENSP00000423022,ENSG00000131183
ENSP00000423733,ENSG00000131183
ENSP00000351181,ENSG00000197448
ENSP00000386944,ENSG00000197448
ENSP00000406802,ENSG00000197448
ENSP00000408341,ENSG00000197448
ENSP00000415813,ENSG00000197448
ENSP00000431049,ENSG00000197448
ENSP00000254853,ENSG00000132517
ENSP00000399979,ENSG00000132517
ENSP00000443026,ENSG00000132517
ENSP00000347717,ENSG00000172893
ENSP00000384739,ENSG00000172893
ENSP00000432256,ENSG00000172893
ENSP00000432589,ENSG00000172893
ENSP00000435011,ENSG00000172893
ENSP00000435047,ENSG00000172893
ENSP00000435058,ENSG00000172893
ENSP00000435668,ENSG00000172893
ENSP00000435707,ENSG00000172893
ENSP00000435956,ENSG00000172893
ENSP00000436007,ENSG00000172893
ENSP00000506866,ENSG00000172893
ENSP00000507520,ENSG00000172893
ENSP00000507607,ENSG00000172893
ENSP00000508207,ENSG00000172893
ENSP00000509319,ENSG00000172893
ENSP00000510750,ENSG00000172893
ENSP00000222382,ENSG00000021461
ENSP00000312110,ENSG00000021461
ENSP00000346887,ENSG00000021461
ENSP00000400316,ENSG00000021461
ENSP00000401521,ENSG00000021461
ENSP00000405557,ENSG00000021461
ENSP00000411653,ENSG00000021461
ENSP00000415221,ENSG00000021461
ENSP00000416581,ENSG00000021461
ENSP00000486759,ENSG00000021461
ENSP00000251768,ENSG00000188687
ENSP00000351513,ENSG00000188687
ENSP00000366859,ENSG00000188687
ENSP00000366861,ENSG00000188687
ENSP00000377587,ENSG00000188687
